time	V(triangle)
3.462265356201600e-003	-1.074848e-001
3.462335603730837e-003	-1.074905e-001
3.462476098789307e-003	-1.080508e-001
3.462701758491164e-003	-1.091713e-001
3.462935990589139e-003	-1.101865e-001
3.463222775854933e-003	-1.114568e-001
3.463531441602890e-003	-1.128914e-001
3.464148773098804e-003	-1.148861e-001
3.464371195671889e-003	-1.148305e-001
3.464495377740150e-003	-1.149004e-001
3.464581438808014e-003	-1.150530e-001
3.464679809584259e-003	-1.150495e-001
3.464794780971527e-003	-1.149841e-001
3.464993869049209e-003	-1.147863e-001
3.465226842614010e-003	-1.140667e-001
3.465363832076218e-003	-1.131336e-001
3.465454004863866e-003	-1.125468e-001
3.465553959090683e-003	-1.121341e-001
3.465655312112254e-003	-1.117568e-001
3.465912959271502e-003	-1.107111e-001
3.466111156235165e-003	-1.098876e-001
3.466507550162487e-003	-1.081609e-001
3.467000000000000e-003	-1.059264e-001
3.467002608151240e-003	-1.053751e-001
3.467007824453718e-003	-1.043188e-001
3.467018257058675e-003	-1.025108e-001
3.467028648856950e-003	-1.013060e-001
3.467044894985470e-003	-1.003737e-001
3.467055298472620e-003	-1.000958e-001
3.467069004303099e-003	-9.982294e-002
3.467083834865659e-003	-9.952261e-002
3.467104207978439e-003	-9.931745e-002
3.467126923170773e-003	-9.940662e-002
3.467151928145906e-003	-9.968147e-002
3.467183462393619e-003	-1.000401e-001
3.467227348146848e-003	-1.004346e-001
3.467297570243253e-003	-1.007259e-001
3.467371333835909e-003	-1.006362e-001
3.467449788181276e-003	-1.002908e-001
3.467549512965410e-003	-9.979123e-002
3.467708369000119e-003	-9.906871e-002
3.764658746584888e-003	1.164507e+000
3.769999999999999e-003	1.187233e+000
3.770025441721198e-003	1.190048e+000
3.770076325163596e-003	1.193444e+000
3.770099672865733e-003	1.193920e+000
3.770117322932479e-003	1.193887e+000
3.770142141684094e-003	1.193832e+000
3.770170300379688e-003	1.193592e+000
3.770200220752140e-003	1.193244e+000
3.770238605844309e-003	1.192923e+000
3.770278506605374e-003	1.192768e+000
3.770345612681620e-003	1.192813e+000
3.770457632111778e-003	1.193280e+000
3.770670888938340e-003	1.194351e+000
3.770892385739419e-003	1.195321e+000
3.771157971892359e-003	1.196487e+000
3.771447166745327e-003	1.197855e+000
3.772025556451264e-003	1.200101e+000
3.772238625888418e-003	1.200258e+000
3.772390292656636e-003	1.200252e+000
3.772524551129766e-003	1.200350e+000
3.772667640190517e-003	1.200337e+000
3.772928117736645e-003	1.200063e+000
3.773355872281944e-003	1.198560e+000
3.773580427550187e-003	1.197217e+000
3.773691745878190e-003	1.196829e+000
3.773772872364124e-003	1.196651e+000
3.773970192861994e-003	1.195827e+000
3.774181756508016e-003	1.194913e+000
3.774506054039614e-003	1.193536e+000
3.774662511911990e-003	1.192838e+000
3.774736228941757e-003	1.192516e+000
3.774865534336277e-003	1.191898e+000
3.775000000000001e-003	1.191218e+000
3.775001328381357e-003	1.190943e+000
3.775003985144068e-003	1.190389e+000
3.775009298669491e-003	1.189335e+000
3.775018905804442e-003	1.187759e+000
3.775031722068710e-003	1.186402e+000
3.775047308140643e-003	1.185615e+000
3.775058887814381e-003	1.185338e+000
3.775075178594586e-003	1.185003e+000
3.775091377393595e-003	1.184729e+000
3.775114406060638e-003	1.184643e+000
3.775138720930261e-003	1.184842e+000
3.775165572127761e-003	1.185160e+000
3.775197578098914e-003	1.185498e+000
3.775261590041218e-003	1.185926e+000
3.775349277247646e-003	1.186001e+000
3.775436867271808e-003	1.185684e+000
3.775547410983710e-003	1.185123e+000
3.775659068052124e-003	1.184602e+000
4.085348715929452e-003	-1.331815e-001
4.087000000000000e-003	-1.402015e-001
4.087007577404002e-003	-1.416120e-001
4.087022732212004e-003	-1.439238e-001
4.087038583576202e-003	-1.454207e-001
4.087054564470442e-003	-1.460837e-001
4.087066728214826e-003	-1.463400e-001
4.087083869198226e-003	-1.466737e-001
4.087103909849666e-003	-1.469222e-001
4.087129434403099e-003	-1.468825e-001
4.087162451000258e-003	-1.465607e-001
4.087193708359265e-003	-1.462407e-001
4.087236864400299e-003	-1.459226e-001
4.087313511593567e-003	-1.457287e-001
4.087391889926554e-003	-1.459176e-001
4.087471809229285e-003	-1.463216e-001
4.087573868388239e-003	-1.468557e-001
4.087955902577267e-003	-1.485717e-001
4.088227645407798e-003	-1.497899e-001
