time	V(vin)	V(vout)
1.875878906249994e-003	8.391927e-001	-7.918075e-002
1.880761718749993e-003	8.717448e-001	-3.116499e-002
1.885644531249993e-003	9.042969e-001	1.762122e-002
1.890527343749993e-003	9.368489e-001	6.714532e-002
1.899999999999999e-003	1.000000e+000	1.650480e-001
1.901464843749999e-003	9.902344e-001	1.804455e-001
1.903417968749999e-003	9.772136e-001	2.010336e-001
1.907324218749999e-003	9.511719e-001	2.422500e-001
1.912207031249999e-003	9.186198e-001	2.936108e-001
1.917089843749999e-003	8.860677e-001	3.444820e-001
1.921972656249999e-003	8.535156e-001	3.944989e-001
1.926855468749999e-003	8.209636e-001	4.433388e-001
1.931738281249999e-003	7.884114e-001	4.907221e-001
1.936621093749999e-003	7.558594e-001	5.364088e-001
1.941503906249999e-003	7.233073e-001	5.801935e-001
1.946386718749998e-003	6.907552e-001	6.219032e-001
1.951269531249998e-003	6.582031e-001	6.613929e-001
1.956152343749998e-003	6.256511e-001	6.985438e-001
1.961035156249998e-003	5.930989e-001	7.332596e-001
1.965917968749998e-003	5.605469e-001	7.654650e-001
1.970800781249998e-003	5.279948e-001	7.951028e-001
1.975683593749998e-003	4.954427e-001	8.221323e-001
1.985449218749998e-003	4.303385e-001	8.682750e-001
1.995214843749997e-003	3.652344e-001	9.038297e-001
2.004980468749997e-003	3.001302e-001	9.288943e-001
2.014746093749997e-003	2.350260e-001	9.436905e-001
2.019628906249997e-003	2.024740e-001	9.473331e-001
2.024511718749997e-003	1.699219e-001	9.485320e-001
2.029394531249997e-003	1.373698e-001	9.473368e-001
2.034277343749997e-003	1.048177e-001	9.437999e-001
2.039160156249996e-003	7.226563e-002	9.379759e-001
2.044042968749996e-003	3.971354e-002	9.299216e-001
2.053808593749996e-003	-2.539063e-002	9.073550e-001
2.063574218749996e-003	-9.049479e-002	8.765744e-001
2.073339843749996e-003	-1.555990e-001	8.380610e-001
2.083105468749995e-003	-2.207031e-001	7.922943e-001
2.092871093749995e-003	-2.858073e-001	7.397456e-001
2.097753906249995e-003	-3.183594e-001	7.110720e-001
2.102636718749995e-003	-3.509115e-001	6.808738e-001
2.107519531249995e-003	-3.834635e-001	6.492057e-001
2.112402343749995e-003	-4.160156e-001	6.161214e-001
2.117285156249995e-003	-4.485677e-001	5.816733e-001
2.122167968749995e-003	-4.811198e-001	5.459125e-001
2.127050781249995e-003	-5.136719e-001	5.088887e-001
2.131933593749994e-003	-5.462239e-001	4.706506e-001
2.136816406249994e-003	-5.787761e-001	4.312451e-001
2.141699218749994e-003	-6.113281e-001	3.907180e-001
2.146582031249994e-003	-6.438802e-001	3.491137e-001
2.151464843749994e-003	-6.764323e-001	3.064752e-001
2.161230468749994e-003	-7.415364e-001	2.182610e-001
2.166113281249994e-003	-7.740886e-001	1.727644e-001
2.170996093749994e-003	-8.066406e-001	1.263922e-001
2.175878906249994e-003	-8.391927e-001	7.918075e-002
2.180761718749993e-003	-8.717448e-001	3.116499e-002
2.185644531249993e-003	-9.042969e-001	-1.762122e-002
2.190527343749993e-003	-9.368489e-001	-6.714532e-002
2.200000000000000e-003	-1.000000e+000	-1.650480e-001
2.201464843750000e-003	-9.902344e-001	-1.804455e-001
2.203417968750000e-003	-9.772136e-001	-2.010336e-001
2.207324218749999e-003	-9.511719e-001	-2.422500e-001
2.212207031249999e-003	-9.186198e-001	-2.936108e-001
2.217089843749999e-003	-8.860677e-001	-3.444820e-001
