time	V(iterative)	V(recursive)
4.388995089921981e-002	6.822261e-002	2.527962e-005
4.393877902421981e-002	8.055460e-002	1.009253e-002
4.398760714921981e-002	9.189790e-002	1.978520e-002
4.403643527421981e-002	1.020981e-001	2.894130e-002
4.408526339921980e-002	1.110146e-001	3.741021e-002
4.413409152421980e-002	1.185230e-001	4.505484e-002
4.418291964921980e-002	1.245169e-001	5.175366e-002
4.423174777421979e-002	1.289095e-001	5.740243e-002
4.428057589921979e-002	1.316354e-001	6.191568e-002
4.432940402421979e-002	1.327338e-001	6.528786e-002
4.436893482113388e-002	1.323425e-001	6.709838e-002
4.441024553782533e-002	1.305951e-001	6.801025e-002
4.445907366282532e-002	1.269663e-001	6.792423e-002
4.450790178782532e-002	1.217328e-001	6.662709e-002
4.455672991282532e-002	1.148928e-001	6.410319e-002
4.460555803782532e-002	1.065331e-001	6.040657e-002
4.465438616282531e-002	9.676149e-002	5.561078e-002
4.470321428782531e-002	8.570530e-002	4.980761e-002
4.475204241282531e-002	7.350960e-002	4.310551e-002
4.480087053782531e-002	6.033539e-002	3.562775e-002
4.484969866282530e-002	4.635724e-002	2.751034e-002
4.489852678782530e-002	3.176093e-002	1.889986e-002
4.494735491282530e-002	1.674086e-002	9.950928e-003
4.499618303782529e-002	1.497372e-003	8.237438e-004
4.504501116282529e-002	-1.376611e-002	-8.318580e-003
4.509383928782529e-002	-2.884585e-002	-1.731268e-002
4.514266741282529e-002	-4.354071e-002	-2.599761e-002
4.519149553782528e-002	-5.765489e-002	-3.421750e-002
4.524032366282528e-002	-7.100073e-002	-4.182409e-002
4.528915178782528e-002	-8.340123e-002	-4.867921e-002
4.533797991282527e-002	-9.469260e-002	-5.465704e-002
4.538680803782527e-002	-1.047264e-001	-5.964622e-002
4.543563616282527e-002	-1.133718e-001	-6.355169e-002
4.548446428782527e-002	-1.205170e-001	-6.629641e-002
4.553329241282526e-002	-1.260710e-001	-6.782260e-002
4.558212053782526e-002	-1.300316e-001	-6.814249e-002
4.562335805367215e-002	-1.320696e-001	-6.743624e-002
4.566188971604829e-002	-1.327347e-001	-6.586532e-002
4.571071784104829e-002	-1.320035e-001	-6.273893e-002
4.575954596604829e-002	-1.296472e-001	-5.846678e-002
4.580837409104829e-002	-1.256128e-001	-5.304340e-002
4.585720221604828e-002	-1.199611e-001	-4.655019e-002
4.590603034104828e-002	-1.127742e-001	-3.908759e-002
4.595485846604828e-002	-1.041545e-001	-3.077366e-002
4.600368659104828e-002	-9.422248e-002	-2.174242e-002
4.605251471604827e-002	-8.311549e-002	-1.214187e-002
4.610134284104827e-002	-7.098510e-002	-2.131811e-003
4.615017096604827e-002	-5.799503e-002	8.118476e-003
4.619899909104826e-002	-4.431859e-002	1.843279e-002
4.624782721604826e-002	-3.013612e-002	2.863063e-002
4.629665534104826e-002	-1.563222e-002	3.852994e-002
4.634548346604826e-002	-9.930136e-004	4.794982e-002
4.639431159104825e-002	1.359658e-002	5.671334e-002
4.644313971604825e-002	2.795563e-002	6.465022e-002
4.649196784104825e-002	4.190982e-002	7.159942e-002
4.654079596604824e-002	5.529399e-002	7.741176e-002
4.658962409104824e-002	6.795454e-002	8.195210e-002
4.663845221604824e-002	7.975162e-002	8.510161e-002
4.668728034104824e-002	9.056111e-002	8.675961e-002
4.673610846604823e-002	1.002764e-001	8.684525e-002
4.678493659104823e-002	1.088097e-001	8.529886e-002
4.683376471604823e-002	1.161374e-001	8.213974e-002
4.687603514923643e-002	1.214603e-001	7.807515e-002
4.691418555195005e-002	1.253238e-001	7.321045e-002
4.696301367695004e-002	1.290584e-001	6.547656e-002
4.701184180195004e-002	1.315494e-001	5.622478e-002
4.706066992695004e-002	1.327557e-001	4.543403e-002
