time	V(triangle)	V(vin)
1.270000000000000e-003	2.965056e-001	-1.000000e+000
1.270012577242753e-003	2.977938e-001	-9.949691e-001
1.270037731728258e-003	2.994816e-001	-9.849073e-001
1.270088040699266e-003	3.008963e-001	-9.647837e-001
1.270108854151504e-003	3.010569e-001	-9.564583e-001
1.270142351711197e-003	3.010181e-001	-9.430593e-001
1.270173382623667e-003	3.008099e-001	-9.306470e-001
1.270209870817675e-003	3.004816e-001	-9.160517e-001
1.270257318613022e-003	3.001943e-001	-8.970726e-001
1.270310684953271e-003	3.000480e-001	-8.757260e-001
1.270384012617571e-003	3.000794e-001	-8.463950e-001
1.270486909345347e-003	3.003254e-001	-8.052363e-001
1.270750179085796e-003	3.009737e-001	-6.999283e-001
1.271057181008884e-003	3.015377e-001	-5.771276e-001
1.271671184855060e-003	3.021125e-001	-3.315261e-001
1.272325727382050e-003	3.022036e-001	-6.970905e-002
1.272724395329347e-003	3.021377e-001	8.975814e-002
1.273032923974418e-003	3.019348e-001	2.131696e-001
1.273281102370126e-003	3.017162e-001	3.124410e-001
1.273540454008961e-003	3.014589e-001	4.161816e-001
1.273800494415080e-003	3.010090e-001	5.201977e-001
1.274086289176074e-003	3.002678e-001	6.345156e-001
1.274374602416301e-003	2.994552e-001	7.498410e-001
1.274657721916768e-003	2.986887e-001	8.630888e-001
1.275000000000000e-003	2.977105e-001	1.000000e+000
1.275003058633446e-003	2.973055e-001	1.000000e+000
1.275009175900337e-003	2.965409e-001	1.000000e+000
1.275021410434120e-003	2.952936e-001	1.000000e+000
1.275036954792180e-003	2.943113e-001	1.000000e+000
1.275057907585923e-003	2.936998e-001	1.000000e+000
1.275075621927703e-003	2.934248e-001	1.000000e+000
1.275095552041222e-003	2.932236e-001	1.000000e+000
1.275125113641314e-003	2.931767e-001	1.000000e+000
1.275155513038419e-003	2.933688e-001	1.000000e+000
1.275190344423560e-003	2.936645e-001	1.000000e+000
1.275231450007667e-003	2.939358e-001	1.000000e+000
1.275313661175878e-003	2.941573e-001	1.000000e+000
1.275457641621888e-003	2.939873e-001	1.000000e+000
1.275695792753372e-003	2.933128e-001	1.000000e+000
1.295424514135740e-003	2.457908e-001	1.000000e+000
1.315153235518109e-003	1.991945e-001	1.000000e+000
1.334881956900477e-003	1.535240e-001	1.000000e+000
1.354610678282846e-003	1.087791e-001	1.000000e+000
1.374339399665214e-003	6.495999e-002	1.000000e+000
1.394068121047582e-003	2.206657e-002	1.000000e+000
1.413796842429951e-003	-1.990114e-002	1.000000e+000
1.428445279929951e-003	-5.051845e-002	1.000000e+000
1.443093717429952e-003	-8.066233e-002	1.000000e+000
1.472390592429953e-003	-1.395590e-001	1.000000e+000
1.501687467429954e-003	-1.966484e-001	1.000000e+000
1.545632779929956e-003	-2.790146e-001	1.000000e+000
1.587000000000000e-003	-3.532065e-001	1.000000e+000
1.587031709775132e-003	-3.552283e-001	9.873161e-001
1.587095129325396e-003	-3.575111e-001	9.619483e-001
1.587126443437635e-003	-3.577716e-001	9.494226e-001
1.587151824701970e-003	-3.576428e-001	9.392701e-001
1.587185553031422e-003	-3.574307e-001	9.257788e-001
1.587251879652186e-003	-3.569581e-001	8.992481e-001
1.587305098360487e-003	-3.567476e-001	8.779607e-001
1.587368689431275e-003	-3.567484e-001	8.525242e-001
1.587493178336522e-003	-3.570101e-001	8.027287e-001
1.588001318663358e-003	-3.581579e-001	5.994725e-001
1.588259482008636e-003	-3.585576e-001	4.962072e-001
1.588581266891530e-003	-3.587476e-001	3.674932e-001
1.588890241178224e-003	-3.588163e-001	2.439035e-001
1.589201817894959e-003	-3.588181e-001	1.192728e-001
1.589824971328426e-003	-3.585476e-001	-1.299885e-001
1.590417041724300e-003	-3.579342e-001	-3.668167e-001
1.591222040907605e-003	-3.564743e-001	-6.888164e-001
1.591244419417999e-003	-3.563596e-001	-6.977678e-001
1.591289176438786e-003	-3.560862e-001	-7.156706e-001
1.591347757839173e-003	-3.558872e-001	-7.391031e-001
